epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,10670.4,1.2327,1.78163,1.3634,0.48471,0.48547,0.46821,0.30759,1.19503,1.58526,1.3566,0.00393575,0.00393575,0.00393575
88,10784.7,1.22785,1.7669,1.35313,0.48375,0.4999,0.46904,0.30686,1.19036,1.57321,1.35267,0.00392337,0.00392337,0.00392337
89,10899.6,1.22582,1.73173,1.35598,0.47169,0.51823,0.47278,0.31046,1.18645,1.56982,1.35091,0.003911,0.003911,0.003911
90,11015,1.2269,1.74826,1.35723,0.50734,0.47779,0.47326,0.31101,1.18056,1.57023,1.34687,0.00389863,0.00389863,0.00389863
91,11130.7,1.21295,1.71786,1.34413,0.52209,0.47707,0.47181,0.30917,1.17997,1.5758,1.34449,0.00388625,0.00388625,0.00388625
92,11245.5,1.23209,1.75006,1.36045,0.50064,0.4881,0.47537,0.31058,1.17932,1.5688,1.3414,0.00387388,0.00387388,0.00387388
93,11360.3,1.2109,1.72227,1.34753,0.51768,0.47818,0.47838,0.30891,1.18216,1.56744,1.34496,0.0038615,0.0038615,0.0038615
94,11474.7,1.21352,1.69476,1.34328,0.52368,0.49397,0.4827,0.31361,1.17446,1.56032,1.34261,0.00384913,0.00384913,0.00384913
95,11590,1.21914,1.70666,1.34443,0.47794,0.52182,0.47693,0.31126,1.18617,1.56536,1.34758,0.00383675,0.00383675,0.00383675
96,11704.6,1.21627,1.69029,1.34686,0.50377,0.50004,0.47963,0.31437,1.18962,1.57146,1.34698,0.00382438,0.00382438,0.00382438
97,11819.9,1.21034,1.68521,1.34612,0.53377,0.48602,0.48621,0.31695,1.1863,1.5541,1.34765,0.003812,0.003812,0.003812
98,11935.1,1.19135,1.67853,1.32708,0.5381,0.4826,0.48823,0.31735,1.1796,1.55344,1.34162,0.00379963,0.00379963,0.00379963
99,12050.2,1.19237,1.67932,1.33094,0.53727,0.49215,0.48791,0.31773,1.17767,1.55343,1.34127,0.00378725,0.00378725,0.00378725
100,12165.8,1.20275,1.66749,1.33316,0.54991,0.47155,0.48642,0.31452,1.18154,1.55435,1.34196,0.00377488,0.00377488,0.00377488
101,12280.4,1.19788,1.64857,1.33155,0.51232,0.50288,0.48722,0.316,1.18628,1.55579,1.34772,0.0037625,0.0037625,0.0037625
102,12395.1,1.19957,1.6678,1.33348,0.51996,0.4997,0.4871,0.31713,1.1849,1.54566,1.34488,0.00375013,0.00375013,0.00375013
103,12509.6,1.18715,1.64701,1.32561,0.55652,0.47276,0.4878,0.31983,1.18545,1.54719,1.34519,0.00373775,0.00373775,0.00373775
104,12625.2,1.21149,1.64511,1.34063,0.52477,0.48568,0.48675,0.32061,1.18834,1.55101,1.34593,0.00372537,0.00372537,0.00372537
105,12740.8,1.18259,1.61238,1.32013,0.55646,0.47689,0.48954,0.31975,1.18585,1.54878,1.34612,0.003713,0.003713,0.003713
106,12855,1.19467,1.63657,1.33347,0.55088,0.48516,0.49121,0.31981,1.17337,1.54582,1.33677,0.00370063,0.00370063,0.00370063
107,12969.6,1.18914,1.60534,1.31774,0.50655,0.50582,0.4896,0.32208,1.16927,1.54019,1.33126,0.00368825,0.00368825,0.00368825
108,13084.7,1.17475,1.59513,1.31435,0.49802,0.51161,0.48931,0.32267,1.16942,1.54214,1.33193,0.00367587,0.00367587,0.00367587
109,13199.9,1.17967,1.58829,1.31603,0.55411,0.46833,0.48765,0.3227,1.16456,1.54083,1.32599,0.0036635,0.0036635,0.0036635
110,13315.1,1.18636,1.60566,1.31737,0.55672,0.46673,0.49033,0.32346,1.16717,1.54349,1.32909,0.00365113,0.00365113,0.00365113
111,13430,1.16989,1.58215,1.31028,0.53991,0.48078,0.48928,0.32302,1.16781,1.53953,1.32877,0.00363875,0.00363875,0.00363875
112,13544.3,1.17319,1.58172,1.31197,0.52853,0.49834,0.49151,0.3235,1.16791,1.53444,1.32851,0.00362637,0.00362637,0.00362637
113,13659.5,1.17533,1.57815,1.31345,0.52564,0.50523,0.49445,0.32548,1.16832,1.52747,1.32968,0.003614,0.003614,0.003614
114,13774.4,1.17036,1.57765,1.3131,0.53038,0.50547,0.49886,0.32775,1.16662,1.52586,1.32977,0.00360163,0.00360163,0.00360163
115,13889.4,1.17058,1.57053,1.31139,0.53817,0.50423,0.49907,0.32871,1.17198,1.52263,1.33589,0.00358925,0.00358925,0.00358925
116,14005.1,1.16655,1.57187,1.31289,0.5369,0.50606,0.49854,0.33148,1.17023,1.52246,1.33547,0.00357688,0.00357688,0.00357688
117,14120.6,1.17017,1.55183,1.3074,0.54508,0.49517,0.50134,0.33248,1.17014,1.52139,1.33416,0.0035645,0.0035645,0.0035645
118,14235.7,1.18096,1.55017,1.30725,0.55051,0.48891,0.50105,0.33197,1.17015,1.52139,1.33362,0.00355212,0.00355212,0.00355212
119,14350.1,1.1585,1.52968,1.29361,0.53386,0.50108,0.50153,0.33464,1.17137,1.51655,1.33408,0.00353975,0.00353975,0.00353975
120,14465.6,1.15529,1.51992,1.29943,0.5401,0.48435,0.49982,0.33181,1.173,1.51774,1.33422,0.00352737,0.00352737,0.00352737
121,14580.1,1.15552,1.52779,1.301,0.53951,0.49813,0.5005,0.3318,1.17225,1.51342,1.33224,0.003515,0.003515,0.003515
122,14694.8,1.15709,1.52832,1.29943,0.52753,0.50437,0.50175,0.33307,1.17271,1.50434,1.3325,0.00350263,0.00350263,0.00350263
123,14809,1.15359,1.50502,1.28488,0.53586,0.49194,0.50128,0.33289,1.17229,1.50364,1.33284,0.00349025,0.00349025,0.00349025
